2025-12-04,1,5,24,36,41,46,39
2025-12-01,2,10,24,35,45,49,37
2025-11-27,6,8,17,28,32,46,16
2025-11-24,8,25,27,34,45,47,19
2025-11-20,11,13,22,31,47,49,39
2025-11-17,3,9,12,18,19,34,24
2025-11-13,6,13,18,22,34,35,40
2025-11-10,2,11,12,19,25,36,16
2025-11-06,3,20,24,29,32,44,46
2025-11-03,10,19,22,34,39,43,35
2025-10-30,1,5,31,34,38,45,21
2025-10-27,4,12,14,24,36,38,17
2025-10-23,7,14,17,18,31,38,46
2025-10-20,3,10,13,15,32,37,8
2025-10-16,2,4,8,19,35,39,7
2025-10-13,5,31,33,34,38,46,39
2025-10-09,13,14,19,22,31,42,41
2025-10-06,10,15,22,31,42,48,4
2025-10-02,19,22,26,37,40,46,14
2025-09-29,15,16,22,34,35,43,26
2025-09-25,1,6,9,11,29,36,12
2025-09-22,8,15,22,24,43,47,44
2025-09-18,6,8,9,20,45,49,21
2025-09-15,10,19,25,29,33,37,24
2025-09-11,2,15,19,35,41,48,33
2025-09-08,1,3,33,38,39,42,31
2025-09-04,8,12,21,38,40,43,25
2025-09-01,3,4,8,13,14,17,20
2025-08-28,10,11,16,24,34,35,1
2025-08-25,2,3,4,16,22,39,48
2025-08-21,4,13,22,36,38,46,12
2025-08-18,1,4,18,24,37,42,26
2025-08-14,22,25,29,31,34,43,11
2025-08-11,9,24,31,34,43,44,1
2025-08-08,2,15,28,39,42,44,5
2025-08-04,30,32,40,43,45,49,5
2025-07-31,7,19,20,21,22,29,37
2025-07-28,2,14,16,21,36,47,1
2025-07-24,9,11,24,32,39,49,26
2025-07-21,2,5,10,12,14,37,17
2025-07-17,7,8,17,29,32,42,1
2025-07-14,2,8,19,29,38,41,20
2025-07-10,12,21,26,27,35,44,10
2025-07-07,10,15,17,33,36,45,34
2025-07-03,6,15,16,17,25,34,31
2025-06-30,11,27,31,33,34,36,13
2025-06-26,10,26,28,35,37,46,20
2025-06-23,2,15,29,37,45,49,24
2025-06-19,1,10,37,40,45,47,19
2025-06-16,5,18,27,32,48,49,21
2025-06-12,3,7,38,41,44,49,20
2025-06-09,7,10,11,21,32,48,27
2025-06-05,2,5,25,26,29,30,42
2025-06-02,10,19,21,22,28,31,34
2025-05-29,1,5,7,11,19,47,44
2025-05-26,5,9,15,28,46,48,8
2025-05-22,3,10,32,34,44,48,29
2025-05-19,2,15,17,18,39,45,26
2025-05-15,9,16,17,20,34,38,18
2025-05-12,6,16,20,23,40,48,45
2025-05-08,9,13,17,39,46,47,22
2025-05-05,5,8,28,38,40,43,39
2025-05-01,2,8,12,30,35,49,38
2025-04-28,3,8,12,18,24,41,11
2025-04-24,17,19,21,23,30,40,33
2025-04-21,1,17,30,37,41,43,32
2025-04-17,15,17,26,31,40,46,19
2025-04-14,6,14,29,30,35,42,25
2025-04-10,14,26,27,30,46,48,10
2025-04-07,7,19,35,40,43,47,33
2025-04-03,12,14,15,16,21,40,23
2025-03-31,9,12,17,23,29,46,20
2025-03-27,21,22,27,35,40,42,3
2025-03-24,18,19,25,28,31,44,34
2025-03-20,9,10,11,13,23,42,20
2025-03-17,7,30,39,42,43,48,33
2025-03-13,16,26,34,36,42,49,41
2025-03-10,5,7,32,38,42,47,27
2025-03-06,19,33,35,38,46,49,39
2025-03-03,4,16,24,25,43,49,46
2025-02-27,2,10,13,15,37,40,28
2025-02-24,24,37,38,42,48,49,31
2025-02-20,3,25,31,37,39,42,21
2025-02-17,1,16,23,39,41,42,9
2025-02-13,5,8,13,28,30,49,17
2025-02-10,1,3,7,18,34,39,46
2025-02-07,16,18,22,23,28,35,32
2025-02-03,1,12,29,31,41,48,25
2025-01-30,2,9,13,24,26,43,49
2025-01-27,7,16,22,26,33,43,44
2025-01-24,9,10,18,35,43,49,42
2025-01-20,3,5,6,16,32,49,4
2025-01-16,6,13,18,27,35,46,48
2025-01-13,3,7,11,13,34,35,17
2025-01-09,13,32,34,36,38,40,37
2025-01-06,6,10,13,27,41,49,4
2025-01-03,9,11,24,29,39,46,31
2024-12-30,3,10,13,29,32,46,18
2024-12-26,8,21,30,35,44,49,39
2024-12-23,34,40,42,44,45,46,19
2024-12-19,3,9,10,20,23,32,42
2024-12-16,13,19,22,26,40,49,45
2024-12-12,17,18,19,31,32,33,8
2024-12-09,1,4,8,10,16,46,23
2024-12-05,8,14,15,20,31,49,13
2024-12-02,10,11,12,21,41,49,44
2024-11-28,1,2,4,15,18,24,35
2024-11-25,26,28,31,38,41,42,23
2024-11-21,4,7,11,14,21,28,36
2024-11-18,1,2,14,36,44,46,20
2024-11-14,12,16,29,36,39,40,37
2024-11-11,13,28,39,43,46,48,30
2024-11-07,4,12,17,18,23,34,28
2024-11-04,14,18,25,28,29,44,36
2024-10-31,2,6,10,17,18,49,35
2024-10-28,10,16,33,37,45,47,6
2024-10-24,20,24,28,37,46,47,36
2024-10-21,4,13,19,44,46,49,31
2024-10-17,2,4,10,25,36,38,22
2024-10-14,12,33,39,42,43,48,10
2024-10-10,1,17,24,25,27,39,30
2024-10-07,16,22,23,31,41,49,8
2024-10-03,2,9,15,17,40,48,28
2024-09-30,4,33,34,38,40,43,15
2024-09-26,17,23,26,31,38,40,14
2024-09-23,9,20,22,32,37,47,1
2024-09-19,7,13,17,22,31,37,1
2024-09-16,2,8,15,19,33,38,21
2024-09-12,5,6,14,36,45,49,12
2024-09-09,1,4,10,16,18,29,6
2024-09-05,1,13,27,38,40,43,2
2024-09-02,6,7,13,30,37,39,16
2024-08-29,3,9,10,12,27,41,29
2024-08-26,6,8,18,34,35,37,33
2024-08-22,2,5,8,43,45,48,41
2024-08-19,2,3,16,26,29,41,12
2024-08-15,15,24,35,36,42,46,48
2024-08-12,2,8,27,33,34,43,11
2024-08-08,23,26,32,36,41,49,31
2024-08-05,1,12,15,30,42,43,22
2024-08-02,14,16,22,23,36,42,21
2024-07-29,19,24,29,30,31,46,28
2024-07-25,14,21,34,35,43,49,33
2024-07-22,4,9,12,15,37,47,44
2024-07-18,8,10,11,12,14,20,38
2024-07-15,4,6,17,32,37,41,10
2024-07-11,15,17,22,32,34,40,6
2024-07-08,15,18,29,34,38,44,35
2024-07-04,4,9,12,15,31,44,33
2024-07-01,11,19,21,26,28,33,39
2024-06-27,1,8,11,14,17,30,5
2024-06-24,20,23,28,30,34,49,25
2024-06-20,3,12,14,16,17,30,27
2024-06-17,8,10,12,16,17,30,19
2024-06-13,4,7,10,17,30,41,21
2024-06-10,1,10,13,23,31,34,43
2024-06-06,4,5,10,14,35,43,12
2024-06-03,1,28,30,32,33,39,11
2024-05-30,6,9,11,17,28,45,21
2024-05-27,14,23,28,34,41,48,17
2024-05-23,3,4,22,27,39,43,6
2024-05-20,7,10,32,33,39,48,37
2024-05-16,2,12,15,28,35,48,24
2024-05-13,2,16,17,22,24,49,42
2024-05-09,9,15,20,26,43,49,36
2024-05-06,1,5,9,31,33,37,36
2024-05-02,4,5,31,37,43,46,7
2024-04-29,2,7,12,31,36,45,30
2024-04-25,5,9,11,18,28,36,35
2024-04-22,6,8,11,16,33,37,23
2024-04-18,18,22,29,32,37,47,49
2024-04-15,5,10,28,36,41,42,19
2024-04-11,22,28,33,40,43,47,16
2024-04-08,12,23,24,34,43,46,42
2024-04-04,3,4,13,31,36,43,19
2024-04-01,3,12,18,19,27,41,15
2024-03-28,6,8,13,17,26,37,18
2024-03-25,4,23,25,27,28,32,21
2024-03-21,6,8,18,19,33,44,15
2024-03-18,1,4,6,15,30,48,45
2024-03-14,8,26,34,35,45,46,36
2024-03-11,5,9,30,37,40,49,33
2024-03-07,5,11,15,20,31,47,44
2024-03-04,13,17,25,27,28,44,3
2024-02-29,1,14,28,44,45,49,16
2024-02-26,2,8,14,27,39,42,10
2024-02-23,18,21,26,35,38,43,40
2024-02-19,1,10,21,29,35,42,27
2024-02-15,15,18,22,35,41,48,5
2024-02-12,9,16,20,25,31,39,41
2024-02-08,6,16,21,27,31,37,49
2024-02-05,14,17,20,25,28,37,13
2024-02-02,2,27,29,36,44,48,12
2024-01-29,20,22,24,28,40,49,27
2024-01-25,10,18,44,45,48,49,20
2024-01-22,1,3,8,13,40,48,6
2024-01-18,5,28,30,37,38,41,43
2024-01-15,24,25,26,28,30,35,4
2024-01-11,2,9,10,43,45,46,13
2024-01-08,11,20,28,30,36,38,37
2024-01-05,7,12,17,20,31,35,22
2024-01-01,8,16,23,24,36,48,5
2023-12-28,13,17,18,24,37,41,15
2023-12-25,11,12,19,23,25,41,47
2023-12-21,7,8,24,25,29,40,18
2023-12-18,12,15,16,23,24,38,44
2023-12-14,22,32,34,39,40,42,5
2023-12-11,9,12,21,22,44,47,31
2023-12-07,10,16,25,29,42,44,48
2023-12-04,6,18,26,31,37,38,22
2023-11-30,3,32,34,38,41,42,17
2023-11-27,16,19,20,26,33,40,23
2023-11-23,2,24,30,37,43,45,35
2023-11-20,12,13,18,22,25,28,47
2023-11-16,10,13,15,28,29,37,22
2023-11-13,6,10,16,24,27,43,31
2023-11-09,2,3,11,17,35,40,45
2023-11-06,11,20,22,28,32,37,4
2023-11-02,3,12,22,29,35,42,49
2023-10-30,12,24,26,32,34,38,28
2023-10-26,1,6,17,19,34,45,48
2023-10-23,2,3,13,15,34,37,8
2023-10-19,1,7,16,20,35,41,6
2023-10-16,21,27,30,38,40,44,6
2023-10-12,14,15,26,35,44,46,43
2023-10-09,1,5,9,25,44,49,43
2023-10-05,4,7,9,38,41,42,16
2023-10-02,2,10,12,13,45,48,11
2023-09-28,3,13,23,28,37,38,9
2023-09-25,3,14,19,23,28,43,25
2023-09-21,2,8,28,31,48,49,37
2023-09-18,4,7,27,32,37,49,44
2023-09-14,14,18,24,26,37,45,28
2023-09-11,1,20,21,27,38,48,17
2023-09-07,17,19,24,26,31,46,37
2023-09-04,1,4,12,33,45,48,35
2023-08-31,14,29,31,39,40,48,47
2023-08-28,1,3,7,12,15,32,34
2023-08-24,1,13,26,34,37,41,9
2023-08-21,1,18,21,28,31,41,11
2023-08-17,4,8,32,33,45,47,12
2023-08-14,5,22,31,32,41,49,14
2023-08-10,3,6,16,29,37,45,12
2023-08-07,5,15,18,31,41,49,16
2023-08-04,19,25,27,28,29,48,34
2023-07-31,2,23,29,35,39,45,6
2023-07-27,8,10,21,27,34,36,2
2023-07-24,1,5,18,20,38,44,45
2023-07-20,10,20,26,39,44,46,3
2023-07-17,18,25,27,32,35,39,48
